input 0, model gemma3:4b, multimodal True, temp 0, question_time 5.0179431438446045, answer /gpt-mission-planner/app/gpt_outputs/tmpqj3t0mk4, ret 5.364554405212402, answer /gpt-mission-planner/app/gpt_outputs/tmpsd_9yoga, ret 5.73991322517395, answer /gpt-mission-planner/app/gpt_outputs/tmp_08pj6tx, ret 5.761718034744263, answer /gpt-mission-planner/app/gpt_outputs/tmpsvlwd_0m, ret 1.2565727233886719, answer /gpt-mission-planner/app/gpt_outputs/tmphp2mr3f_, ret 1.0821406841278076, answer /gpt-mission-planner/app/gpt_outputs/tmprx3rfd2i, ret 0.9518718719482422, answer /gpt-mission-planner/app/gpt_outputs/tmpy6198nlf, ret 0.4638633728027344, answer /gpt-mission-planner/app/gpt_outputs/tmpctp9x8d8, ret 0.6822960376739502, answer /gpt-mission-planner/app/gpt_outputs/tmpdwb117l3, ret 0.6032845973968506, answer /gpt-mission-planner/app/gpt_outputs/tmpvgi08pp5, ret 0.8664243221282959, answer /gpt-mission-planner/app/gpt_outputs/tmpgrpwz_bk, succ False
input 2, model gemma3:4b, multimodal True, temp 0.25, question_time 12.363369941711426, answer /gpt-mission-planner/app/gpt_outputs/tmpv32kmm5f, ret 8.866563320159912, answer /gpt-mission-planner/app/gpt_outputs/tmp0vw_lcuh, ret 8.487926959991455, answer /gpt-mission-planner/app/gpt_outputs/tmp81ia6mnr, ret 8.321120023727417, answer /gpt-mission-planner/app/gpt_outputs/tmpgf5p_tmq, ret 8.386476516723633, answer /gpt-mission-planner/app/gpt_outputs/tmpltppgmqu, ret 8.492795705795288, answer /gpt-mission-planner/app/gpt_outputs/tmp33uhjfun, ret 8.503479957580566, answer /gpt-mission-planner/app/gpt_outputs/tmpuke0nvq2, ret 8.543206453323364, answer /gpt-mission-planner/app/gpt_outputs/tmpe5ynueyc, ret 8.506350994110107, answer /gpt-mission-planner/app/gpt_outputs/tmpdudsstq3, ret 8.653071165084839, answer /gpt-mission-planner/app/gpt_outputs/tmp3apoaowo, ret 8.667805194854736, answer /gpt-mission-planner/app/gpt_outputs/tmp5_gkxr4v, succ False
input 3, model gemma3:4b, multimodal True, temp 0.25, question_time 5.73187255859375, answer /gpt-mission-planner/app/gpt_outputs/tmpzo00nuwb, ret 4.7250354290008545, answer /gpt-mission-planner/app/gpt_outputs/tmpc3rk21ae, ret 5.753857612609863, answer /gpt-mission-planner/app/gpt_outputs/tmpqp5x_kxa, ret 5.704989194869995, answer /gpt-mission-planner/app/gpt_outputs/tmpgyx7cd2n, ret 6.4914023876190186, answer /gpt-mission-planner/app/gpt_outputs/tmpr89tf0wk, ret 6.152312994003296, answer /gpt-mission-planner/app/gpt_outputs/tmpgk942y0x, ret 4.259451150894165, answer /gpt-mission-planner/app/gpt_outputs/tmp1qbak_ox, ret 5.887470960617065, answer /gpt-mission-planner/app/gpt_outputs/tmp893sddq3, ret 3.7480530738830566, answer /gpt-mission-planner/app/gpt_outputs/tmpt_sqntc0, ret 5.665346384048462, answer /gpt-mission-planner/app/gpt_outputs/tmpgxnvvzv1, ret 4.300593137741089, answer /gpt-mission-planner/app/gpt_outputs/tmpilgyjgrt, succ False
input 4, model gemma3:4b, multimodal True, temp 0.25, question_time 4.359452247619629, answer /gpt-mission-planner/app/gpt_outputs/tmpxo6umyt3, ret 4.765992879867554, answer /gpt-mission-planner/app/gpt_outputs/tmpcy5cs30o, ret 5.28961181640625, answer /gpt-mission-planner/app/gpt_outputs/tmp6ylw95w7, ret 5.295291900634766, answer /gpt-mission-planner/app/gpt_outputs/tmpxztirtfy, ret 5.857450246810913, answer /gpt-mission-planner/app/gpt_outputs/tmpvnudxhuo, ret 5.7524213790893555, answer /gpt-mission-planner/app/gpt_outputs/tmprn7llgiw, ret 5.478504419326782, answer /gpt-mission-planner/app/gpt_outputs/tmpniqqh4ha, ret 5.507098197937012, answer /gpt-mission-planner/app/gpt_outputs/tmp7_s04i1m, ret 5.538727760314941, answer /gpt-mission-planner/app/gpt_outputs/tmpj26fbxww, ret 5.653409242630005, answer /gpt-mission-planner/app/gpt_outputs/tmpi8jv0w_t, ret 5.840632438659668, answer /gpt-mission-planner/app/gpt_outputs/tmpr5fd4nzq, succ False
input 5, model gemma3:4b, multimodal True, temp 0.25, question_time 4.8703107833862305, answer /gpt-mission-planner/app/gpt_outputs/tmp0xoex2di, ret 5.720238208770752, answer /gpt-mission-planner/app/gpt_outputs/tmptb9t8n2o, ret 5.153172016143799, answer /gpt-mission-planner/app/gpt_outputs/tmpjde4odoq, ret 3.977212905883789, answer /gpt-mission-planner/app/gpt_outputs/tmpqymg_1zu, ret 4.008854389190674, answer /gpt-mission-planner/app/gpt_outputs/tmpriuouwec, ret 3.8042829036712646, answer /gpt-mission-planner/app/gpt_outputs/tmpa5wxso97, ret 1.808241605758667, answer /gpt-mission-planner/app/gpt_outputs/tmpxxu_kjxq, ret 3.6734561920166016, answer /gpt-mission-planner/app/gpt_outputs/tmpfeepsl8d, ret 1.668229103088379, answer /gpt-mission-planner/app/gpt_outputs/tmpt4e67n_y, ret 2.023714780807495, answer /gpt-mission-planner/app/gpt_outputs/tmp8joruee4, ret 2.3657820224761963, answer /gpt-mission-planner/app/gpt_outputs/tmpnwm7v2ny, succ False
input 6, model gemma3:4b, multimodal True, temp 0.25, question_time 11.833633422851562, answer /gpt-mission-planner/app/gpt_outputs/tmpitm7kcfk, ret 35.040624141693115, answer /gpt-mission-planner/app/gpt_outputs/tmpauta6xnq, ret 6.390334367752075, answer /gpt-mission-planner/app/gpt_outputs/tmpy0idt01_, ret 2.129352331161499, answer /gpt-mission-planner/app/gpt_outputs/tmp6rrdpnwe, ret 3.243919849395752, answer /gpt-mission-planner/app/gpt_outputs/tmpp80065h0, ret 3.0348289012908936, answer /gpt-mission-planner/app/gpt_outputs/tmpmd2yg904, ret 2.1885292530059814, answer /gpt-mission-planner/app/gpt_outputs/tmpwvttcynq, ret 2.8689217567443848, answer /gpt-mission-planner/app/gpt_outputs/tmp9ibn4neo, ret 2.2298569679260254, answer /gpt-mission-planner/app/gpt_outputs/tmpe_jlkd2u, ret 2.5093376636505127, answer /gpt-mission-planner/app/gpt_outputs/tmpp5gxeheb, ret 2.6489646434783936, answer /gpt-mission-planner/app/gpt_outputs/tmp7bw5erwl, succ False
input 7, model gemma3:4b, multimodal True, temp 0.25, question_time 4.851786136627197, answer /gpt-mission-planner/app/gpt_outputs/tmpxubtt1ap, ret 3.581080675125122, answer /gpt-mission-planner/app/gpt_outputs/tmpex64ebj8, ret 3.1881182193756104, answer /gpt-mission-planner/app/gpt_outputs/tmpokiqb2ci, ret 3.449965476989746, answer /gpt-mission-planner/app/gpt_outputs/tmp4u0lcwuv, ret 3.638216495513916, answer /gpt-mission-planner/app/gpt_outputs/tmpm2wgg26w, ret 4.017204284667969, answer /gpt-mission-planner/app/gpt_outputs/tmppdg3wyo7, ret 3.942888021469116, answer /gpt-mission-planner/app/gpt_outputs/tmptmnf19wd, ret 4.015070676803589, answer /gpt-mission-planner/app/gpt_outputs/tmpp0mo6q0g, ret 4.266473054885864, answer /gpt-mission-planner/app/gpt_outputs/tmphgle14bp, ret 4.166395664215088, answer /gpt-mission-planner/app/gpt_outputs/tmpgdtunzm3, ret 4.2254297733306885, answer /gpt-mission-planner/app/gpt_outputs/tmptsyu_i_a, succ False
input 8, model gemma3:4b, multimodal True, temp 0.25, question_time 17.310421466827393, answer /gpt-mission-planner/app/gpt_outputs/tmpgtyd7gh4, ret 1.9665520191192627, answer /gpt-mission-planner/app/gpt_outputs/tmp68zoo2l2, ret 1.0927743911743164, answer /gpt-mission-planner/app/gpt_outputs/tmpdb60b5ay, ret 1.4118480682373047, answer /gpt-mission-planner/app/gpt_outputs/tmphzwjt34q, ret 2.023892402648926, answer /gpt-mission-planner/app/gpt_outputs/tmpux8bj1rh, ret 2.144099712371826, answer /gpt-mission-planner/app/gpt_outputs/tmprnia15gx, ret 1.6213915348052979, answer /gpt-mission-planner/app/gpt_outputs/tmpaq1ccfj8, ret 1.5279927253723145, answer /gpt-mission-planner/app/gpt_outputs/tmpxkgj1ed3, ret 1.9960424900054932, answer /gpt-mission-planner/app/gpt_outputs/tmph4uo4dn9, ret 1.470562219619751, answer /gpt-mission-planner/app/gpt_outputs/tmpnjizqbph, ret 2.3774354457855225, answer /gpt-mission-planner/app/gpt_outputs/tmp2rds1a9x, succ False
input 9, model gemma3:4b, multimodal True, temp 0.25, question_time 28.020030736923218, answer /gpt-mission-planner/app/gpt_outputs/tmpn91gk8c0, ret 4.621545076370239, answer /gpt-mission-planner/app/gpt_outputs/tmpctvsmmnf, ret 3.176541328430176, answer /gpt-mission-planner/app/gpt_outputs/tmphycj3fy8, ret 3.5338034629821777, answer /gpt-mission-planner/app/gpt_outputs/tmpn3jybk4e, ret 2.6069023609161377, answer /gpt-mission-planner/app/gpt_outputs/tmpt5oe1t6t, ret 2.7113869190216064, answer /gpt-mission-planner/app/gpt_outputs/tmp6fagd2wq, ret 2.4323134422302246, answer /gpt-mission-planner/app/gpt_outputs/tmp48l1qapg, ret 2.04392671585083, answer /gpt-mission-planner/app/gpt_outputs/tmpq9z7vnb0, ret 2.3635458946228027, answer /gpt-mission-planner/app/gpt_outputs/tmphj_7p7s3, ret 1.337165117263794, answer /gpt-mission-planner/app/gpt_outputs/tmpn4s660dj, ret 1.0734410285949707, answer /gpt-mission-planner/app/gpt_outputs/tmpkp17m1th, succ False
input 10, model gemma3:4b, multimodal True, temp 0.25, question_time 4.235100507736206, answer /gpt-mission-planner/app/gpt_outputs/tmp7czi9xpm, ret 4.854837417602539, answer /gpt-mission-planner/app/gpt_outputs/tmpqywasv7s, ret 5.28571629524231, answer /gpt-mission-planner/app/gpt_outputs/tmp0dz08ufa, ret 4.949621200561523, answer /gpt-mission-planner/app/gpt_outputs/tmp_6cev56n, ret 5.1202232837677, answer /gpt-mission-planner/app/gpt_outputs/tmprir9ig1_, ret 4.908001899719238, answer /gpt-mission-planner/app/gpt_outputs/tmpfigyc7ig, ret 4.951644659042358, answer /gpt-mission-planner/app/gpt_outputs/tmp2qer4vj2, ret 5.004621744155884, answer /gpt-mission-planner/app/gpt_outputs/tmpy9f1ngyg, ret 4.971424341201782, answer /gpt-mission-planner/app/gpt_outputs/tmp1r76zytr, ret 4.985032558441162, answer /gpt-mission-planner/app/gpt_outputs/tmp0txzdgtf, ret 4.987428426742554, answer /gpt-mission-planner/app/gpt_outputs/tmpz3gulk6z, succ False
input 0, model gemma3:4b, multimodal True, temp 0.5, question_time 7.014557123184204, answer /gpt-mission-planner/app/gpt_outputs/tmpzg8oao71, ret 7.023558139801025, answer /gpt-mission-planner/app/gpt_outputs/tmpy_x49urc, ret 7.324512004852295, answer /gpt-mission-planner/app/gpt_outputs/tmp8qiqvwau, ret 7.06573224067688, answer /gpt-mission-planner/app/gpt_outputs/tmp86hq1avz, ret 7.217122793197632, answer /gpt-mission-planner/app/gpt_outputs/tmp8cgq6cg0, ret 7.109364032745361, answer /gpt-mission-planner/app/gpt_outputs/tmpxbao6daz, ret 7.13362717628479, answer /gpt-mission-planner/app/gpt_outputs/tmp7w83cp4s, ret 7.130176782608032, answer /gpt-mission-planner/app/gpt_outputs/tmplcomfmup, ret 7.125701189041138, answer /gpt-mission-planner/app/gpt_outputs/tmpkg7vlthd, ret 7.109623432159424, answer /gpt-mission-planner/app/gpt_outputs/tmpi5lib4_l, ret 7.129877090454102, answer /gpt-mission-planner/app/gpt_outputs/tmptes3f4vz, succ False
input 1, model gemma3:4b, multimodal True, temp 0.5, question_time 12.99923849105835, answer /gpt-mission-planner/app/gpt_outputs/tmpncp3epxe, ret 10.969006061553955, answer /gpt-mission-planner/app/gpt_outputs/tmpis9nsa9k, ret 10.880754709243774, answer /gpt-mission-planner/app/gpt_outputs/tmp30j65rdi, ret 10.925642490386963, answer /gpt-mission-planner/app/gpt_outputs/tmp7_efhflx, ret 10.554981708526611, answer /gpt-mission-planner/app/gpt_outputs/tmpqgktnq6w, ret 8.220580101013184, answer /gpt-mission-planner/app/gpt_outputs/tmpclwee3at, ret 8.002256870269775, answer /gpt-mission-planner/app/gpt_outputs/tmpp9m5f7pn, ret 8.038017511367798, answer /gpt-mission-planner/app/gpt_outputs/tmpia2ub72w, ret 8.109928369522095, answer /gpt-mission-planner/app/gpt_outputs/tmpl6eolnsc, ret 8.105868101119995, answer /gpt-mission-planner/app/gpt_outputs/tmpzybl17rb, ret 8.14695143699646, answer /gpt-mission-planner/app/gpt_outputs/tmpnyppi3ip, succ False
input 2, model gemma3:4b, multimodal True, temp 0.5, question_time 19.399146795272827, answer /gpt-mission-planner/app/gpt_outputs/tmpenyq04zm, ret 6.015487432479858, answer /gpt-mission-planner/app/gpt_outputs/tmp_u2e92oz, ret 2.322908401489258, answer /gpt-mission-planner/app/gpt_outputs/tmpcb7l4hjz, ret 1.4944944381713867, answer /gpt-mission-planner/app/gpt_outputs/tmpvtnd8drb, ret 1.6275904178619385, answer /gpt-mission-planner/app/gpt_outputs/tmpgavv8vo0, ret 1.7787158489227295, answer /gpt-mission-planner/app/gpt_outputs/tmp322xsvwr, ret 1.8496508598327637, answer /gpt-mission-planner/app/gpt_outputs/tmp75k2ikr0, ret 2.126948595046997, answer /gpt-mission-planner/app/gpt_outputs/tmpelcnwb6q, ret 1.7483696937561035, answer /gpt-mission-planner/app/gpt_outputs/tmpfdg0ammg, ret 1.9809458255767822, answer /gpt-mission-planner/app/gpt_outputs/tmp_re34wmu, ret 2.2922203540802, answer /gpt-mission-planner/app/gpt_outputs/tmpcukp_vw9, succ False
